source_id	source_names
Q65509960	"[""head""]"
Q1748266	"[""hole""]"
Q15840635	"[""platypus""]"
Q1131578	"[""jack""]"
Q383842	"[""africa""]"
Q19871650	"[""africa""]"
Q50892611	"[""head""]"
Q2706363	"[""boom""]"
Q30054374	"[""park""]"
Q7137601	"[""park""]"
Q2181853	"[""mexico""]"
Q25365	"[""crane""]"
Q1233637	"[""mouth""]"
Q30063731	"[""park""]"
Q23459550	"[""dog""]"
Q68352263	"[""dress""]"
Q30038059	"[""park""]"
Q83544156	"[""match""]"
Q13562077	"[""drop""]"
Q78338489	"[""water""]"
Q636188	"[""ray""]"
Q11247170	"[""star""]"
Q29814120	"[""fan""]"
Q16928008	"[""state""]"
Q25443597	"[""spring""]"
Q4526475	"[""spy""]"
Q33314899	"[""park""]"
Q66429760	"[""grass""]"
Q7581986	"[""square""]"
Q1420750	"[""star""]"
Q2759082	"[""time""]"
Q21771853	"[""temple""]"
Q339180	"[""pound""]"
Q30089523	"[""park""]"
Q30549127	"[""park""]"
Q102083	"[""knight""]"
Q64961433	"[""jupiter""]"
Q4764963	"[""pound""]"
Q33526469	"[""park""]"
Q23406430	"[""port""]"
Q26626737	"[""bridge""]"
Q2940247	"[""robin""]"
Q30099580	"[""park""]"
Q18030644	"[""pole""]"
Q30787139	"[""park""]"
Q47328	"[""cricket""]"
Q64559882	"[""dress""]"
Q7194374	"[""pilot""]"
Q56345309	"[""pan""]"
Q30099423	"[""park""]"
Q24138800	"[""hole""]"
Q22128637	"[""fly""]"
Q4200844	"[""gold""]"
Q987142	"[""buffalo""]"
Q859351	"[""cell""]"
Q27890567	"[""dog""]"
Q1798151	"[""line""]"
Q212198	"[""bar""]"
Q962104	"[""rock""]"
Q30041530	"[""park""]"
Q30069301	"[""park""]"
Q63933676	"[""scorpion""]"
Q60117247	"[""greece""]"
Q3521022	"[""ghost""]"
Q93301	"[""engine""]"
Q33410599	"[""park""]"
Q37498994	"[""wave""]"
Q55380845	"[""temple""]"
Q20978321	"[""new york""]"
Q29975602	"[""park""]"
Q56195323	"[""washington""]"
Q11175	"[""shark""]"
Q1389184	"[""fly""]"
Q66330193	"[""spring""]"
Q29383085	"[""eagle""]"
Q73775122	"[""jet""]"
Q2546634	"[""gas""]"
Q33467224	"[""park""]"
Q33087331	"[""park""]"
Q47512450	"[""washington""]"
Q78903584	"[""date""]"
Q31137130	"[""park""]"
Q16699331	"[""soldier""]"
Q7623901	"[""string""]"
Q33397509	"[""park""]"
Q30096722	"[""park""]"
Q19884692	"[""spring""]"
Q36961623	"[""cold""]"
Q47000494	"[""rose""]"
Q14333733	"[""shadow""]"
Q30029593	"[""rose""]"
Q64320310	"[""gold""]"
Q79326150	"[""buffalo""]"
Q1363007	"[""slug""]"
Q4460287	"[""church""]"
Q15109222	"[""day""]"
Q33136797	"[""park""]"
Q7580358	"[""spring""]"
Q4220735	"[""king""]"
Q9293899	"[""horse""]"
Q65511856	"[""tablet""]"
Q16876401	"[""maple""]"
Q360917	"[""water""]"
Q64571374	"[""table""]"
Q64618034	"[""dress""]"
Q47397242	"[""church""]"
Q33136207	"[""park""]"
Q29726120	"[""straw""]"
Q30652400	"[""park""]"
Q2869414	"[""atlantis""]"
Q66614450	"[""lap""]"
Q5093374	"[""chest""]"
Q550677	"[""robin""]"
Q11188969	"[""africa""]"
Q17382754	"[""ninja""]"
Q60997192	"[""moon""]"
Q5596280	"[""buck""]"
Q4088298	"[""lock""]"
Q3624286	"[""england""]"
Q65022238	"[""water""]"
Q64535016	"[""bell""]"
Q2624506	"[""doctor""]"
Q23161968	"[""iron""]"
Q31095695	"[""park""]"
Q30097063	"[""park""]"
Q52279998	"[""spring""]"
Q19826818	"[""night""]"
Q61728148	"[""march""]"
