bn:07728360n	bn:07728360n
bn:12424293n	3-simplex
bn:13864364n	GB
bn:14240710n	cosecant
bn:14951687n	sec_function
bn:15944118n	cotangent
bn:15945722n	Congruence_modulo
bn:15971199n	second_of_arc
bn:16123046n	inversion
bn:16408820n	Corresponding_angles
bn:16690320n	bn:16690320n
bn:20106908n	kite_(geometry)
bn:21706503n	Position_(vector)
bn:00026811n	diagonal#n#1
bn:00066247n	ratio#n#1
bn:00070697n	set#n#2
bn:00000005n	1#n#1
bn:00023140n	enumeration#n#2
bn:00055094n	minute#n#1
bn:00058285n	number#n#2
bn:00066143n	rangefinder#n#1
bn:00596023n	axial_symmetry
bn:01007873n	Cylindrical_coordinate_system
bn:01071999n	quadrant_(plane_geometry)
bn:02306918n	Commutative_property
bn:03197335n	Viktor_Trkal
bn:04066177n	bn:04066177n
bn:13860113n	dimensionless_number
bn:15097211n	cos_function
bn:18140176n	bn:18140176n
bn:21706247n	quaternion
bn:00026649n	determinant#n#3
bn:00055062n	milliradian#n#1
bn:00058605n	octant#n#1
bn:00071555n	significant_digit#n#1
bn:00075431n	surveying#n#1
bn:09177375n	bn:09177375n
bn:15485474n	angle_sum_theorem
bn:00000451n	absolute_value#n#1
bn:00001679n	aerodynamics#n#1
bn:00001697n	airplane#n#1
bn:00004001n	hermaphrodite#n#1
bn:00004122n	angle_of_attack#n#1
bn:00005387n	arch#n#4
bn:00005437n	architectural_engineering#n#1
bn:00010054n	Bernhard_Riemann#n#1
bn:00016199n	carpenter's_square#n#1
bn:00019887n	clock#n#1
bn:00027046n	diffraction#n#1
bn:00027047n	diffraction_grating#n#1
bn:00029998n	general_relativity#n#1
bn:00031851n	euphemism#n#1
bn:00035426n	fluid#n#1
bn:00041635n	Greek#n#2
bn:00043350n	keystone#n#2
bn:00054578n	metaphor#n#1
bn:00060568n	parallax#n#1
bn:00060750n	parsec#n#1
bn:00066926n	regular_polygon#n#1
bn:00071103n	ship#n#1
bn:00075577n	yaw#n#1
bn:00076821n	theodolite#n#1
bn:01923067n	Jacob's_staff
bn:03264695n	gravitational_lens
bn:03344798n	ship_motion
bn:03544612n	vertex_(curve)
bn:03794415n	Aircraft_principal_axes
bn:06784786n	bn:06784786n
bn:08843102n	Pitching
bn:14273602n	sine_and_cosine
bn:14608098n	90-45-45_set_square
bn:15385545n	shop
bn:15950940n	intersection_(Euclidean_geometry)
bn:16383471n	Tangents_and_cotangents
bn:00002216n	wind#n#1
bn:00002676n	algebra#n#1
bn:00014694n	calculus#n#3
bn:00029448n	earthquake#n#1
bn:00068625n	Russian#n#2
bn:00074595n	street#n#1
bn:00076457n	temperature#n#1
bn:00077639n	topography#n#2
bn:03343385n	Plena_Ilustrita_Vortaro_de_Esperanto
bn:04042111n	bn:04042111n
bn:07119859n	bn:07119859n
bn:17293387n	Reta_Vortaro
bn:04515571n	bn:04515571n
bn:04515572n	straight_angle
bn:06998167n	bn:06998167n
bn:00005676n	arithmetic#n#1
bn:00028025n	dodecahedron#n#1
bn:00031794n	Euclid's_fifth_axiom#n#1
bn:00045484n	hyperbolic_geometry#n#1
bn:00045781n	icosahedron#n#1
bn:00050662n	length#n#1
bn:00066395n	real_number#n#1
bn:00920748n	Kepler–Poinsot_polyhedron
bn:02007142n	Pythagorean_theorem
bn:02146864n	Surface_(topology)
bn:02879206n	93
bn:08734466n	bn:08734466n
bn:08740867n	bn:08740867n
bn:08741897n	bn:08741897n
bn:08744074n	bn:08744074n
bn:14186551n	Obtuse_angle
bn:14617599n	Kalle_Väisälä
bn:14646703n	bn:14646703n
bn:15281995n	bn:15281995n
bn:15537923n	bn:15537923n
bn:15537955n	bn:15537955n
bn:15538024n	bn:15538024n
bn:15574910n	bn:15574910n
bn:15575100n	bn:15575100n
bn:00000277n	Abelian_group#n#1
bn:00002383n	Cairo#n#2
bn:00006656n	celestial_navigation#n#1
bn:00007067n	dimension#n#2
bn:00012597n	pair#n#1
bn:00022375n	convex_shape#n#1
bn:00041943n	group#n#3
bn:00041944n	group_action#n#1
bn:00045826n	identity_element#n#1
bn:00051329n	meridian#n#3
bn:00056707n	nadir#n#2
bn:00066810n	reflection#n#2
bn:00066812n	reflection#n#6
bn:00066842n	refraction#n#1
bn:00070092n	secant#n#1
bn:00074898n	subgroup#n#2
bn:00234465n	Unordered_pair
bn:00282102n	quotient_group
bn:00334013n	History_of_geometry
bn:00395791n	Group_homomorphism
bn:00459875n	Gösgen_Nuclear_Power_Plant
bn:00479216n	General_Packet_Radio_Service
bn:00628226n	New_York_hardcore
bn:00653645n	Riemannian_manifold
bn:00815409n	Glatigny,_Manche
bn:00815413n	Golleville
bn:00909215n	unit_vector
bn:00980521n	Orthogonal_group
bn:01218241n	orthonormal_set
bn:01229716n	Function_composition
bn:01276687n	Segment_addition_postulate
bn:01412662n	EDP_Sciences
bn:01469930n	Marciac
bn:01634535n	vector_(mathematics_and_physics)
bn:01648057n	Figure_of_the_Earth
bn:02430248n	Hatier
bn:02510380n	Golden_angle
bn:02629291n	Michèle_Audin
bn:02763944n	International_Federation_of_Surveyors
bn:03204601n	Up_to
bn:03258393n	Equatorial_coordinate_system
bn:03293097n	Circle_group
bn:03344043n	Blind_spot
bn:03551870n	Transformation_matrix
bn:03599005n	Geometrical_optics
bn:03739348n	Rotation_matrix
bn:04029734n	bn:04029734n
bn:04717177n	compact_Lie_group
bn:04719686n	bn:04719686n
bn:04736133n	bn:04736133n
bn:04776866n	bn:04776866n
bn:04780656n	bn:04780656n
bn:04840407n	bn:04840407n
bn:04842143n	bn:04842143n
bn:04842153n	bn:04842153n
bn:04891012n	bn:04891012n
bn:04892133n	bn:04892133n
bn:04894559n	bn:04894559n
bn:04897877n	bn:04897877n
bn:04903062n	bn:04903062n
bn:05008798n	bn:05008798n
bn:13964745n	bn:13964745n
bn:14410550n	Binary_relation
bn:15170979n	bn:15170979n
bn:15202413n	height
bn:21706279n	equivalence_relation
bn:21706380n	Euclidean_group
bn:00005105n	technology#n#2
bn:00005442n	architecture#n#2
bn:00021492n	program#n#7
bn:00021494n	computer_science#n#1
bn:00212508n	Google
bn:00714590n	cell
bn:02519368n	Compass_rose
bn:02605523n	University_of_Santiago_de_Compostela
bn:03279324n	Amherst
bn:03829079n	Sociedad_Estatal_de_Participaciones_Industriales
bn:03929429n	bn:03929429n
bn:04661648n	bn:04661648n
bn:04671382n	bn:04671382n
bn:14223940n	lower_case
bn:14225174n	capital_letter
bn:16696167n	NE
bn:00000004n	zero#n#2
